scheme_name,state_ministry,description,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tags,combined_text,scheme_link
"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Odisha,"The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish.",Farmer,Fertilizer,Fisheries,Pond,Seed,Subsidy,"Farmer, Fertilizer, Fisheries, Pond, Seed, Subsidy","""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme Odisha The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish. Farmer, Fertilizer, Fisheries, Pond, Seed, Subsidy",https://www.myscheme.gov.in/schemes/mmky-iaftufffp
"""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board",Puducherry,"Through the “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit.",Construction,DBT,Farmer,Manure,Subsidy,,"Construction, DBT, Farmer, Manure, Subsidy","""Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board Puducherry Through the “Integrated Farming for Productivity Improvement Scheme"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the Laying of the Demonstration Plot, and for the Construction of the Organic Manure Unit. Construction, DBT, Farmer, Manure, Subsidy",https://www.myscheme.gov.in/schemes/ifpisbtcdb
"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",Assam,"The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam.",Capital,Incentive,Industry,Interest,Subsidy,,"Capital, Incentive, Industry, Interest, Subsidy","""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme"" Assam The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam. Capital, Incentive, Industry, Interest, Subsidy",https://www.myscheme.gov.in/schemes/iswc-atisis
"""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""",Assam,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",Incentive,Industry,Production,Subsidy,Tea,,"Incentive, Industry, Production, Subsidy, Tea","""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme"" Assam The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam. Incentive, Industry, Production, Subsidy, Tea",https://www.myscheme.gov.in/schemes/ostps-atisis
"""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme",Puducherry,"Through this scheme, the farmers are provided Poly House, Shade Net House (Tubular Structure), Plastic Mulching at subsidised rates for practising Protected Cultivation. In Puducherry, this scheme is implemented by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry.",Cultivation,Farmer,Garden,Horticulture,Subsidy,,"Cultivation, Farmer, Garden, Horticulture, Subsidy","""Protected Cultivation"" Component of ""Establishment of New Gardens (Area Expansion)"" Scheme Puducherry Through this scheme, the farmers are provided Poly House, Shade Net House (Tubular Structure), Plastic Mulching at subsidised rates for practising Protected Cultivation. In Puducherry, this scheme is implemented by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Cultivation, Farmer, Garden, Horticulture, Subsidy",https://www.myscheme.gov.in/schemes/pccengaes
"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",Odisha,"The objective of the ""Reactivation Of Fisheries Cooperative Societies"" scheme is to provide a one-time revolving fund of ₹2,00,000/- to each eligible Primary Fishermen Cooperative Society for working capital of the society and improvement of the socio-economic status of the members in the long run.",Financial Assistance,Fishermen,Society,,,,"Financial Assistance, Fishermen, Society","""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme Odisha The objective of the ""Reactivation Of Fisheries Cooperative Societies"" scheme is to provide a one-time revolving fund of ₹2,00,000/- to each eligible Primary Fishermen Cooperative Society for working capital of the society and improvement of the socio-economic status of the members in the long run. Financial Assistance, Fishermen, Society",https://www.myscheme.gov.in/schemes/mmky-rfcs
"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme",Puducherry,"The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.",Agriculture,Cultivation,Farmer,Fodder,Subsidy,,"Agriculture, Cultivation, Farmer, Fodder, Subsidy","""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme Puducherry The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region. Agriculture, Cultivation, Farmer, Fodder, Subsidy",https://www.myscheme.gov.in/schemes/scfc-cpt
"""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme""",Assam,"The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.",Incentive,Industry,Machinery,Production,Subsidy,Tea,"Incentive, Industry, Machinery, Production, Subsidy, Tea","""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme"" Assam The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam. Incentive, Industry, Machinery, Production, Subsidy, Tea",https://www.myscheme.gov.in/schemes/sostupm-atisis
"""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",Puducherry,"The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets.",Boat,Financial Assistance,Fisherman,Procurement,Subsidy,,"Boat, Financial Assistance, Fisherman, Procurement, Subsidy","""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"" Puducherry The scheme ""Subsidy for the Purchase of Fiber-reinforced Plastic Cattamaran/ Vallam/ Wooden Nava/ Marine Plywood Canoe With Nets"" is introduced to increase marine fish production by extending subsidies to the fishermen for the procurement of fiber-reinforced plastic vallam with nets. Boat, Financial Assistance, Fisherman, Procurement, Subsidy",https://www.myscheme.gov.in/schemes/spfrpcvwnmpcn-faascdmf
"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme",Puducherry,"The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane.",Farmer,Financial Assistance,Nursery,Seed,Sugarcane,,"Farmer, Financial Assistance, Nursery, Seed, Sugarcane","""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme Puducherry The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane. Farmer, Financial Assistance, Nursery, Seed, Sugarcane",https://www.myscheme.gov.in/schemes/snpsscpts
A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops,Gujarat,This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture.,Agriculture,Fruit Crops,Horticultural,,,,"Agriculture, Fruit Crops, Horticultural","A Program to Provide 90 Percent Assistance in Planting Material of Horticultural Fruit Crops Gujarat This scheme offers 90% financial assistance to farmers for purchasing planting materials of fruit crops to promote horticulture. Agriculture, Fruit Crops, Horticultural",https://www.myscheme.gov.in/schemes/ptpapmh
A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees,Gujarat,"This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market.",Agriculture,E-Market,,,,,"Agriculture, E-Market","A Scheme to Provide Assistance for Building E-Market Facilities in Market Committees Gujarat This scheme provides financial assistance to market committees in Gujarat to establish e-market facilities, aligning with the National Agriculture Market Policy for a unified national e-market. Agriculture, E-Market",https://www.myscheme.gov.in/schemes/spabem
AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,Gujarat,"The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Agriculture,Equipment,Farmer,Financial Assistance,Mechanization,,"Agriculture, Equipment, Farmer, Financial Assistance, Mechanization","AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST Gujarat The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Agriculture, Equipment, Farmer, Financial Assistance, Mechanization",https://www.myscheme.gov.in/schemes/agr2fmsfotscst
AGR 3 (Farm Mechanization) Scheme For ST Farmers,Gujarat,"The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Adivasi,Agriculture,Equipment,Farmer,Financial Assistance,Mechanization,"Adivasi, Agriculture, Equipment, Farmer, Financial Assistance, Mechanization","AGR 3 (Farm Mechanization) Scheme For ST Farmers Gujarat The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Adivasi, Agriculture, Equipment, Farmer, Financial Assistance, Mechanization",https://www.myscheme.gov.in/schemes/agr3fmsstf
AGR 4 (Farm Mechanization) Scheme For SC Farmers,Gujarat,"The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",Agriculture,Equipment,Farmer,Financial Assistance,Mechanization,Scheduled Caste,"Agriculture, Equipment, Farmer, Financial Assistance, Mechanization, Scheduled Caste","AGR 4 (Farm Mechanization) Scheme For SC Farmers Gujarat The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Agriculture, Equipment, Farmer, Financial Assistance, Mechanization, Scheduled Caste",https://www.myscheme.gov.in/schemes/agr4fmsscf
AGR-4 Scheduled Castes Sub-Plan for Distribution of Seeds and Fertilizers Input Kits at Subsidised Rates to Scheduled Caste Cultivators,Gujarat,"The scheme aims to provide subsidised seeds, fertilizers, and organic inputs to Scheduled Caste farmers to improve agricultural productivity.",Agriculture,Distribution Of Seeds,Farmer,Fertilizers,,,"Agriculture, Distribution Of Seeds, Farmer, Fertilizers","AGR-4 Scheduled Castes Sub-Plan for Distribution of Seeds and Fertilizers Input Kits at Subsidised Rates to Scheduled Caste Cultivators Gujarat The scheme aims to provide subsidised seeds, fertilizers, and organic inputs to Scheduled Caste farmers to improve agricultural productivity. Agriculture, Distribution Of Seeds, Farmer, Fertilizers",https://www.myscheme.gov.in/schemes/scspdsfik
AGR-50 Scheme-Assistance To Purchase Tractors,Gujarat,"The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state.",Agriculture,Farmer,Financial Assistance,Mechanization,Tractor,,"Agriculture, Farmer, Financial Assistance, Mechanization, Tractor","AGR-50 Scheme-Assistance To Purchase Tractors Gujarat The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state. Agriculture, Farmer, Financial Assistance, Mechanization, Tractor",https://www.myscheme.gov.in/schemes/agr50s-apt
AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support farmers in Gujarat by facilitating access to farm implements and mechanization.",Agriculture,Agro Service Providers,Farm Mechanization,,,,"Agriculture, Agro Service Providers, Farm Mechanization","AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization Gujarat This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support farmers in Gujarat by facilitating access to farm implements and mechanization. Agriculture, Agro Service Providers, Farm Mechanization",https://www.myscheme.gov.in/schemes/agrasp
Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana,Bihar,The scheme aims to increase the production of Kufri Chipsona variety suitable for potato processing in Bihar by expanding its area and to increase the income of farmers by promoting processing.,Agriculture,Financial Assistance,Kufri Chipsona Varient,Plant Supply,Potato,Subsidy,"Agriculture, Financial Assistance, Kufri Chipsona Varient, Plant Supply, Potato, Subsidy","Aaloo Ke Kufri Chipsona-1 Prabhed Ke Kshetra Vistaar Yojana Bihar The scheme aims to increase the production of Kufri Chipsona variety suitable for potato processing in Bihar by expanding its area and to increase the income of farmers by promoting processing. Agriculture, Financial Assistance, Kufri Chipsona Varient, Plant Supply, Potato, Subsidy",https://www.myscheme.gov.in/schemes/akckvy
Acharya Vidyasagar Gau Samvardhan Yojana,Madhya Pradesh,"The objective of this scheme is to Increase in milk production, improving the economic status of the beneficiaries, increase in milk production capacity of animals and provide employment opportunities.",Animal Husbandary,Cow,Dairy,Milk Production,Veterinary,,"Animal Husbandary, Cow, Dairy, Milk Production, Veterinary","Acharya Vidyasagar Gau Samvardhan Yojana Madhya Pradesh The objective of this scheme is to Increase in milk production, improving the economic status of the beneficiaries, increase in milk production capacity of animals and provide employment opportunities. Animal Husbandary, Cow, Dairy, Milk Production, Veterinary",https://www.myscheme.gov.in/schemes/avgsy
Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy),Madhya Pradesh,"""Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bulls on Subsidy)"" aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Murrah bulls are provided with a 75% subsidy to animal keepers.",Animal,Breed,Cow,Subsidy,,,"Animal, Breed, Cow, Subsidy","Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy) Madhya Pradesh ""Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bulls on Subsidy)"" aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Murrah bulls are provided with a 75% subsidy to animal keepers. Animal, Breed, Cow, Subsidy",https://www.myscheme.gov.in/schemes/aabssobpmbos
Afforestation Schemes Providing Incentives And Employment To Tribals In Forest,Tamil Nadu,"This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations.",Afforestation,Employment,Incentives,Tribal Welfare,,,"Afforestation, Employment, Incentives, Tribal Welfare","Afforestation Schemes Providing Incentives And Employment To Tribals In Forest Tamil Nadu This scheme offers grants to unemployed tribals for afforestation work, providing them with incentives and employment opportunities in forest operations. Afforestation, Employment, Incentives, Tribal Welfare",https://www.myscheme.gov.in/schemes/aspie
Agri-Clinics And Agri-Business Centres Scheme,Ministry Of Agriculture and Farmers Welfare,"A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development, supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model.",Agriculture,Business,Employment,Entrepreneur,Student,Training,"Agriculture, Business, Employment, Entrepreneur, Student, Training","Agri-Clinics And Agri-Business Centres Scheme Ministry Of Agriculture and Farmers Welfare A welfare scheme by the Ministry of Agriculture and Farmers' Welfare was launched in 2002. AC&ABC aims at agricultural development, supplementing the efforts of public extension by providing extension and other services to farmers either on a payment basis or free of cost as per the business model. Agriculture, Business, Employment, Entrepreneur, Student, Training",https://www.myscheme.gov.in/schemes/acandabc
Agricultural Activities for Persons with Disabilities,Haryana,"This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc.",Agricultural Activities,Disabled Person,Loan,PwD,,,"Agricultural Activities, Disabled Person, Loan, PwD","Agricultural Activities for Persons with Disabilities Haryana This scheme provides loans up to ₹10,00,000/- to the persons with disabilities for agricultural production, irrigation, horticulture, sericulture, the purchase of agricultural machinery and equipment for agricultural services, and the marketing of agricultural products etc. Agricultural Activities, Disabled Person, Loan, PwD",https://www.myscheme.gov.in/schemes/aapd
Agricultural Extension,Ministry Of Agriculture and Farmers Welfare,"Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices.",Agricultural,Extension,,,,,"Agricultural, Extension","Agricultural Extension Ministry Of Agriculture and Farmers Welfare Extension Division endeavours towards successful implementation of Agricultural Extension activities. Through its various programmes, schemes and activities, Extension Division helps farmers to get information regarding scientific research and new knowledge in agricultural practices. Agricultural, Extension",https://www.myscheme.gov.in/schemes/ae
