State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Surendranagar,Dhragradhra,Corriander seed,Coriander Seed,FAQ,05-09-2025,6660,6660,6660
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,05-09-2025,4000,5000,4500
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,05-09-2025,1500,3500,2500
Gujarat,Vadodara(Baroda),Padra,Pointed gourd (Parval),Other,FAQ,05-09-2025,3500,4000,3750
Gujarat,Vadodara(Baroda),Padra,Potato,Other,FAQ,05-09-2025,1500,2100,1800
Gujarat,Vadodara(Baroda),Padra,Sponge gourd,Other,FAQ,05-09-2025,1200,1500,1350
Haryana,Ambala,Naraingarh,Cabbage,Other,FAQ,05-09-2025,1000,2000,1400
Haryana,Ambala,Naraingarh,Colacasia,Other,FAQ,05-09-2025,1500,2500,2100
Haryana,Ambala,Naraingarh,Green Chilli,Green Chilly,FAQ,05-09-2025,1500,3000,2200
Haryana,Ambala,Naraingarh,Mousambi(Sweet Lime),Mousambi,Medium,05-09-2025,4000,4000,4000
Haryana,Ambala,Naraingarh,Pear(Marasebu),Other,Medium,05-09-2025,2260,2260,2260
Haryana,Ambala,Naraingarh,Pomegranate,Pomogranate,Medium,05-09-2025,7000,7000,7000
Haryana,Bhiwani,Bhiwani,Banana,Medium,Large,05-09-2025,5740,6120,5980
Haryana,Bhiwani,Bhiwani,Cabbage,Other,FAQ,05-09-2025,1240,1520,1421
Haryana,Bhiwani,Bhiwani,Guava,Guava,Large,05-09-2025,2210,2450,2360
Haryana,Faridabad,Ballabhgarh,Banana,Other,Medium,05-09-2025,1000,2000,1500
Haryana,Faridabad,Ballabhgarh,Brinjal,Other,FAQ,05-09-2025,1500,2200,2000
Haryana,Faridabad,Ballabhgarh,Cabbage,Other,FAQ,05-09-2025,1800,2200,2000
Haryana,Faridabad,Ballabhgarh,Cauliflower,Other,FAQ,05-09-2025,3000,3500,3200
Haryana,Faridabad,Ballabhgarh,Green Chilli,Other,FAQ,05-09-2025,2500,3500,3000
Haryana,Faridabad,Ballabhgarh,Pumpkin,Other,FAQ,05-09-2025,800,1200,1000
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,05-09-2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,05-09-2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Guava,Other,Large,05-09-2025,2000,4000,3000
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,05-09-2025,800,1200,1000
Haryana,Gurgaon,Sohna,Green Chilli,Green Chilly,FAQ,05-09-2025,3500,5000,4500
Haryana,Gurgaon,Sohna,Raddish,Raddish,FAQ,05-09-2025,2000,2500,2500
Haryana,Gurgaon,Sohna,Tomato,Tomato,FAQ,05-09-2025,3000,4000,3500
Haryana,Hissar,Barwala(Hisar),Apple,Other,Medium,05-09-2025,7000,8000,7500
Haryana,Hissar,Barwala(Hisar),Onion,Other,FAQ,05-09-2025,1200,1500,1400
Haryana,Hissar,Hansi,Bhindi(Ladies Finger),Other,FAQ,05-09-2025,2000,3000,2500
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,05-09-2025,2000,3000,2500
Haryana,Hissar,Hansi,Peas Wet,Other,FAQ,05-09-2025,15000,16000,15000
Haryana,Kurukshetra,Pehowa,Bottle gourd,Other,FAQ,05-09-2025,1400,1540,1500
Haryana,Kurukshetra,Shahabad,Apple,Apple,Medium,05-09-2025,4000,7000,5000
Haryana,Kurukshetra,Shahabad,Brinjal,Brinjal,FAQ,05-09-2025,2500,2500,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,Non-FAQ,05-09-2025,1565,2000,1725
Haryana,Kurukshetra,Shahabad,Pomegranate,Pomogranate,Medium,05-09-2025,6920,9000,7500
Haryana,Kurukshetra,Shahabad,Sponge gourd,Other,FAQ,05-09-2025,1500,2000,1600
Haryana,Mahendragarh-Narnaul,Narnaul,Bhindi(Ladies Finger),Bhindi,FAQ,05-09-2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Capsicum,Capsicum,FAQ,05-09-2025,6000,6000,6000
Haryana,Mahendragarh-Narnaul,Narnaul,Ginger(Green),Green Ginger,FAQ,05-09-2025,3000,5000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Tinda,Tinda,FAQ,05-09-2025,2000,4000,3500
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,Non-FAQ,05-09-2025,2000,2000,2000
Haryana,Panchkula,Barwala,Bottle gourd,Other,FAQ,05-09-2025,1000,1500,1250
Haryana,Panchkula,Barwala,Cauliflower,Other,FAQ,05-09-2025,5000,6000,5500
Haryana,Panchkula,Raipur Rai,Bhindi(Ladies Finger),Other,FAQ,05-09-2025,2200,2400,2200
Haryana,Panchkula,Raipur Rai,Potato,Other,FAQ,05-09-2025,1000,1200,1000
Haryana,Panipat,Madlauda,Onion,Other,FAQ,05-09-2025,1800,1800,1800
Haryana,Panipat,Madlauda,Potato,Other,FAQ,05-09-2025,900,900,900
Haryana,Panipat,Samalkha,Bottle gourd,Bottle Gourd,FAQ,05-09-2025,2000,2000,2000
Haryana,Rewari,Rewari,Onion,Medium,Non-FAQ,05-09-2025,1000,2000,1500
Haryana,Rewari,Rewari,Tomato,Other,Non-FAQ,05-09-2025,2000,3600,2800
Haryana,Rohtak,Meham,Papaya (Raw),Other,FAQ,05-09-2025,2500,2500,2500
Haryana,Rohtak,Meham,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,05-09-2025,2000,2000,2000
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,05-09-2025,3400,3500,3400
Haryana,Sonipat,Ganaur,Ginger(Green),Green Ginger,FAQ,05-09-2025,6500,7000,6800
Haryana,Sonipat,Ganaur,Lemon,Lemon,FAQ,05-09-2025,7000,8000,7500
Haryana,Sonipat,Ganaur,Potato,Potato,FAQ,05-09-2025,1300,1400,1300
Haryana,Yamuna Nagar,Chhachrauli,Apple,Apple,Medium,05-09-2025,12000,12000,12000
Haryana,Yamuna Nagar,Chhachrauli,Bhindi(Ladies Finger),Bhindi,FAQ,05-09-2025,2000,2600,2000
Haryana,Yamuna Nagar,Chhachrauli,Pumpkin,Pumpkin,FAQ,05-09-2025,1200,1200,1200
Haryana,Yamuna Nagar,Chhachrauli,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,05-09-2025,1400,1800,1400
Haryana,Yamuna Nagar,Mustafabad,Ridgeguard(Tori),Other,FAQ,05-09-2025,2000,2200,2000
Himachal Pradesh,Chamba,Chamba,Banana,Other,Medium,05-09-2025,4500,5000,4750
Himachal Pradesh,Chamba,Chamba,Onion,Other,FAQ,05-09-2025,2300,2500,2400
Himachal Pradesh,Chamba,Chamba,Sponge gourd,Other,FAQ,05-09-2025,3500,4000,3750
Himachal Pradesh,Chamba,Chamba,Tomato,Other,FAQ,05-09-2025,4000,4500,4250
Himachal Pradesh,Hamirpur,Hamirpur,Apple,Golden,Medium,05-09-2025,4000,6000,5000
Himachal Pradesh,Hamirpur,Hamirpur,Bottle gourd,Other,FAQ,05-09-2025,5000,5500,5200
Himachal Pradesh,Hamirpur,Hamirpur,Brinjal,Other,FAQ,05-09-2025,5000,5000,5000
Himachal Pradesh,Hamirpur,Hamirpur,Cabbage,Other,FAQ,05-09-2025,3500,4000,3700
Himachal Pradesh,Hamirpur,Hamirpur,Lemon,Other,FAQ,05-09-2025,6000,6000,6000
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Cucumbar(Kheera),Other,FAQ,05-09-2025,3500,4500,4000
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Garlic,Garlic,FAQ,05-09-2025,10000,13000,11500
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Green Chilli,Other,FAQ,05-09-2025,6000,6000,6000
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Potato,Other,FAQ,05-09-2025,1200,2800,2000
Himachal Pradesh,Kangra,Dharamshala,Banana,Other,Large,05-09-2025,4000,4500,4250
Himachal Pradesh,Kangra,Dharamshala,Cauliflower,Other,FAQ,05-09-2025,7500,8000,7750
Himachal Pradesh,Kangra,Dharamshala,Mousambi(Sweet Lime),Other,Medium,05-09-2025,5000,5500,5250
Himachal Pradesh,Kangra,Dharamshala,Onion,Other,FAQ,05-09-2025,2400,2600,2500
Himachal Pradesh,Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,05-09-2025,3000,3500,3200
Himachal Pradesh,Kangra,Kangra,Mousambi(Sweet Lime),Other,Medium,05-09-2025,4000,5000,4500
Himachal Pradesh,Kangra,Kangra,Pineapple,Other,Medium,05-09-2025,4000,4500,4200
Himachal Pradesh,Kangra,Kangra,Pomegranate,Other,Medium,05-09-2025,7000,12000,10000
Himachal Pradesh,Kangra,Kangra,Raddish,Other,FAQ,05-09-2025,2000,2500,2200
Himachal Pradesh,Kangra,Kangra,Sponge gourd,Other,FAQ,05-09-2025,3500,4000,3700
Himachal Pradesh,Kangra,Kangra(Baijnath),Cabbage,Cabbage,FAQ,05-09-2025,3000,3200,3100
Himachal Pradesh,Kangra,Kangra(Baijnath),Capsicum,Capsicum,FAQ,05-09-2025,8000,8700,8400
Himachal Pradesh,Kangra,Kangra(Baijnath),Lemon,Lemon,FAQ,05-09-2025,6000,6200,6100
Himachal Pradesh,Kangra,Kangra(Baijnath),Pineapple,Other,Medium,05-09-2025,4500,5000,4800
Himachal Pradesh,Kangra,Kangra(Baijnath),Potato,Potato,FAQ,05-09-2025,2000,2500,2400
Himachal Pradesh,Kangra,Kangra(Baijnath),Pumpkin,Other,FAQ,05-09-2025,2300,2400,2400
Himachal Pradesh,Kangra,Kangra(Baijnath),Tomato,Tomato,FAQ,05-09-2025,3600,4000,3800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Beetroot,Beetroot,FAQ,05-09-2025,5000,5200,5100
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bitter gourd,Bitter Gourd,FAQ,05-09-2025,4800,5200,5000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Mashrooms,Mashrooms,FAQ,05-09-2025,18000,19000,18500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Raddish,Raddish,FAQ,05-09-2025,2200,2600,2400
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Brinjal,Arkasheela Mattigulla,FAQ,05-09-2025,4000,4500,4200
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pomegranate,Other,Medium,05-09-2025,6000,12000,10000
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Pumpkin,Other,FAQ,05-09-2025,1500,2200,1800
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,05-09-2025,4200,5000,4600
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),Other,FAQ,05-09-2025,5000,5500,5200
Himachal Pradesh,Kangra,Palampur,Bitter gourd,Other,FAQ,05-09-2025,4500,5000,4700
Himachal Pradesh,Kangra,Palampur,Cabbage,Cabbage,FAQ,05-09-2025,3000,3500,3200
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,FAQ,05-09-2025,8000,9000,8500
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,FAQ,05-09-2025,7000,8000,7500
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),Other,Medium,05-09-2025,4800,5000,4900
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,Medium,05-09-2025,8000,12500,10000
Himachal Pradesh,Mandi,Chail Chowk ,Onion,Other,Non-FAQ,05-09-2025,1500,1600,1600
Himachal Pradesh,Mandi,Mandi(Takoli),Onion,Other,FAQ,05-09-2025,2000,2500,2300
Himachal Pradesh,Mandi,Mandi(Takoli),Potato,Other,FAQ,05-09-2025,1000,1500,1300
Himachal Pradesh,Sirmore,Nahan,Brinjal,Other,FAQ,05-09-2025,3000,3500,3200
Himachal Pradesh,Sirmore,Nahan,Coriander(Leaves),Other,FAQ,05-09-2025,14000,16000,15000
Himachal Pradesh,Sirmore,Nahan,Green Chilli,Other,FAQ,05-09-2025,7000,8000,7500
Himachal Pradesh,Sirmore,Nahan,Papaya,Other,Large,05-09-2025,3000,3500,3200
Himachal Pradesh,Sirmore,Nahan,Tomato,Other,FAQ,05-09-2025,3000,3500,3200
Himachal Pradesh,Sirmore,Paonta Sahib,Bhindi(Ladies Finger),Other,FAQ,05-09-2025,2500,3500,3000
Himachal Pradesh,Sirmore,Paonta Sahib,Bitter gourd,Other,FAQ,05-09-2025,3500,4000,3800
Himachal Pradesh,Sirmore,Paonta Sahib,Bottle gourd,Other,FAQ,05-09-2025,2500,3000,2800
Himachal Pradesh,Sirmore,Paonta Sahib,Cucumbar(Kheera),Other,FAQ,05-09-2025,2000,2500,2200
Himachal Pradesh,Sirmore,Paonta Sahib,French Beans (Frasbean),Other,FAQ,05-09-2025,12000,14000,13000
Himachal Pradesh,Sirmore,Paonta Sahib,Pomegranate,Other,Large,05-09-2025,12000,14000,13000
Himachal Pradesh,Sirmore,Paonta Sahib,Potato,Other,FAQ,05-09-2025,1000,1500,1200
Himachal Pradesh,Sirmore,Paonta Sahib,Sponge gourd,Other,FAQ,05-09-2025,3500,4000,3800
Kerala,Alappuzha,Kayamkulam,Banana,Nendra Bale,Medium,05-09-2025,3200,3400,3300
Kerala,Alappuzha,Kayamkulam,Banana - Green,Other,FAQ,05-09-2025,3100,3300,3200
Kerala,Alappuzha,Kayamkulam,Bitter gourd,Other,FAQ,05-09-2025,8900,9100,9000
Kerala,Alappuzha,Kayamkulam,Brinjal,Other,FAQ,05-09-2025,4200,4400,4300
Kerala,Alappuzha,Kayamkulam,Cabbage,Other,FAQ,05-09-2025,3100,3300,3200
Kerala,Alappuzha,Kayamkulam,Carrot,Other,FAQ,05-09-2025,7100,7300,7200
Kerala,Alappuzha,Kayamkulam,Cowpea(Veg),Other,FAQ,05-09-2025,4200,4400,4300
Kerala,Alappuzha,Kayamkulam,Ginger(Green),Other,FAQ,05-09-2025,7900,8100,8000
Kerala,Alappuzha,Kayamkulam,Onion,Big,FAQ,05-09-2025,2100,2300,2200
Kerala,Alappuzha,Kayamkulam,Pumpkin,Other,FAQ,05-09-2025,2900,3100,3000
Kerala,Kollam,Anchal VFPCK,Cowpea(Veg),Cowpea (Veg),FAQ,05-09-2025,10900,11000,11000
Kerala,Kollam,Anchal VFPCK,Snakeguard,Snakeguard,FAQ,05-09-2025,4000,5000,4500
Kerala,Kozhikode(Calicut),Mukkom,Apple,Other,Large,05-09-2025,11000,12000,11500
Kerala,Kozhikode(Calicut),Mukkom,Bitter gourd,Bitter Gourd,FAQ,05-09-2025,6500,6800,6600
Kerala,Kozhikode(Calicut),Mukkom,Ginger(Green),Green Ginger,FAQ,05-09-2025,7800,8500,8000
Kerala,Kozhikode(Calicut),Mukkom,Onion,Onion,FAQ,05-09-2025,2300,2600,2400
Kerala,Kozhikode(Calicut),Mukkom,Potato,Other,FAQ,05-09-2025,2800,3200,3000
Kerala,Kozhikode(Calicut),Mukkom,Snakeguard,Snakeguard,FAQ,05-09-2025,4000,4500,4300
Kerala,Kozhikode(Calicut),Mukkom,Tomato,Tomato,FAQ,05-09-2025,3400,3800,3600
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Amaranthus,Amaranthus,FAQ,05-09-2025,2400,2700,2700
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Carrot,Carrot,FAQ,05-09-2025,6400,6700,6700
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Cowpea(Veg),Cowpea (Veg),FAQ,05-09-2025,6000,6300,6300
Kerala,Kozhikode(Calicut),Vengeri(Kozhikode),Tomato,Tomato,FAQ,05-09-2025,2800,3100,3100
Kerala,Malappuram,Parappanangadi,Bottle gourd,Bottle Gourd,FAQ,05-09-2025,3500,3600,3600
Kerala,Malappuram,Parappanangadi,Capsicum,Capsicum,FAQ,05-09-2025,7500,7600,7600
Kerala,Malappuram,Parappanangadi,Carrot,Other,FAQ,05-09-2025,7800,7900,7900
Kerala,Malappuram,Parappanangadi,Colacasia,Colacasia,FAQ,05-09-2025,3600,3700,3700
Kerala,Malappuram,Parappanangadi,Cowpea(Veg),Cowpea (Veg),FAQ,05-09-2025,7500,7600,7600
Kerala,Malappuram,Parappanangadi,Drumstick,Drumstick,FAQ,05-09-2025,6000,6100,6100
Kerala,Malappuram,Parappanangadi,Green Chilli,Other,FAQ,05-09-2025,5800,5900,5900
Kerala,Malappuram,Parappanangadi,Onion,Small,FAQ,05-09-2025,5000,5100,5100
Kerala,Malappuram,Parappanangadi,Pumpkin,Pumpkin,FAQ,05-09-2025,2600,2700,2700
Kerala,Malappuram,Parappanangadi,Snakeguard,Snakeguard,FAQ,05-09-2025,4500,4600,4600
Madhya Pradesh,Alirajpur,Jobat,Wheat,Wheat,FAQ,05-09-2025,2500,2500,2500
Madhya Pradesh,Balaghat,Balaghat,Paddy(Dhan)(Common),Common,FAQ,05-09-2025,1741,1741,1741
Madhya Pradesh,Betul,Betul(F&V),Cabbage,Cabbage,FAQ,05-09-2025,1000,1200,1100
Madhya Pradesh,Dewas,Haatpipliya,Wheat,Wheat,FAQ,05-09-2025,2611,2611,2611
Madhya Pradesh,Jabalpur,Jabalpur,Wheat,Wheat,Non-FAQ,05-09-2025,2590,2592,2590
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Wheat,Mill Quality,Non-FAQ,05-09-2025,2400,2455,2455
Madhya Pradesh,Satna,Mehar,Wheat,Local,Non-FAQ,05-09-2025,2375,2400,2400
Madhya Pradesh,Satna,Satna,Mustard,Mustard,FAQ,05-09-2025,6710,6710,6710
Maharashtra,Pune,Pune(Moshi),Beans,Other,Local,05-09-2025,3000,3500,3250
Maharashtra,Pune,Pune(Moshi),Drumstick,Other,Local,05-09-2025,4000,5000,4500
Maharashtra,Pune,Pune(Moshi),Garlic,Other,Local,05-09-2025,7000,7000,7000
Maharashtra,Pune,Pune(Moshi),Lime,Other,Local,05-09-2025,3000,4000,3500
Maharashtra,Pune,Pune(Moshi),Spinach,Other,Local,05-09-2025,8,10,9
Maharashtra,Pune,Pune(Moshi),Water Melon,Other,Local,05-09-2025,2500,2500,2500
Maharashtra,Pune,Pune(Pimpri),Onion,Local,Local,05-09-2025,800,1800,1300
Maharashtra,Pune,Pune(Pimpri),Tomato,Local,Local,05-09-2025,1400,2000,1700
Meghalaya,East Khasi Hills,Shillong,Arecanut(Betelnut/Supari),Other,FAQ,05-09-2025,16000,22000,19000
Meghalaya,East Khasi Hills,Shillong,Brinjal,Other,FAQ,05-09-2025,3500,4000,3800
Meghalaya,East Khasi Hills,Shillong,Pumpkin,Other,FAQ,05-09-2025,2400,2600,2500
Nagaland,Mokokchung,Mangkolemba,Carrot,Other,FAQ,05-09-2025,7500,8500,8000
Nagaland,Mokokchung,Mangkolemba,Chow Chow,Other,FAQ,05-09-2025,2500,3500,3000
Odisha,Boudh,Boudh,Cauliflower,Other,FAQ,05-09-2025,6500,7500,7000
Odisha,Boudh,Khunthabandha,Onion,Other,FAQ,05-09-2025,2200,3000,2500
Odisha,Dhenkanal,Hindol,Cucumbar(Kheera),Cucumbar,FAQ,05-09-2025,4500,5000,4800
Odisha,Dhenkanal,Hindol,Pumpkin,Pumpkin,FAQ,05-09-2025,1800,2200,2000
Odisha,Dhenkanal,Hindol,Ridgeguard(Tori),Other,FAQ,05-09-2025,5500,6000,5800
Odisha,Gajapati,Parlakhemundi,Brinjal,Other,FAQ,05-09-2025,2300,2500,2400
Odisha,Jharsuguda,Jharsuguda,Potato,Other,Non-FAQ,05-09-2025,2000,2500,2500
Punjab,Fazilka,Fazilka,Apple,Other,Medium,05-09-2025,10000,20000,15000
Punjab,Fazilka,Fazilka,Cauliflower,Other,FAQ,05-09-2025,3000,5000,4000
Punjab,Fazilka,Fazilka,Cucumbar(Kheera),Cucumbar,FAQ,05-09-2025,2000,4000,3000
Punjab,Fazilka,Jalalabad,Ginger(Green),Other,FAQ,05-09-2025,5200,5300,5200
Punjab,Fazilka,Jalalabad,Mousambi(Sweet Lime),Mousambi,Large,05-09-2025,3300,3500,3400
Punjab,Gurdaspur,Gurdaspur,Banana,Other,Medium,05-09-2025,2000,2400,2200
Punjab,Gurdaspur,Gurdaspur,Bitter gourd,Other,FAQ,05-09-2025,2500,3000,2800
Punjab,Gurdaspur,Gurdaspur,Bottle gourd,Other,FAQ,05-09-2025,1500,2000,1700
Punjab,Gurdaspur,Gurdaspur,Brinjal,Other,FAQ,05-09-2025,1400,1600,1500
Punjab,Gurdaspur,Gurdaspur,Cauliflower,Other,FAQ,05-09-2025,3500,4500,4000
Punjab,Gurdaspur,Gurdaspur,French Beans (Frasbean),Other,FAQ,05-09-2025,2000,2500,2300
Punjab,Gurdaspur,Gurdaspur,Green Chilli,Other,FAQ,05-09-2025,2500,3000,2700
Punjab,Hoshiarpur,Garh Shankar,Papaya,Other,Large,05-09-2025,3000,3500,3200
Punjab,Hoshiarpur,Mukerian,Banana,Banana - Ripe,Medium,05-09-2025,2300,3100,2700
Punjab,Hoshiarpur,Mukerian,Bitter gourd,Other,FAQ,05-09-2025,2500,3500,3000
Punjab,Hoshiarpur,Mukerian,Cabbage,Other,FAQ,05-09-2025,2500,3500,3000
Punjab,Hoshiarpur,Tanda Urmur,Cabbage,Other,FAQ,05-09-2025,2500,3000,2800
Punjab,Jalandhar,Jalandhar City(Jalandhar),Apple,Other,Medium,05-09-2025,2600,7800,4800
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cucumbar(Kheera),Cucumbar,FAQ,05-09-2025,2000,4000,3000
Punjab,Jalandhar,Jalandhar City(Jalandhar),Ginger(Green),Green Ginger,FAQ,05-09-2025,3000,4500,3700
Punjab,Jalandhar,Jalandhar City(Jalandhar),Guava,Other,Medium,05-09-2025,1000,2000,1600
Punjab,Jalandhar,Jalandhar City(Jalandhar),Onion,Other,FAQ,05-09-2025,600,1800,1200
